UNIQUE_EVENT,TARGET_DEPTH
HS201556-QCST02,15
HS201556-QCST03,0
HS201556-QCST04,30
HS201556-QCST05,0
HS201556-QCST06,0
HS201556-QCST07,15
HS201447-RB28,0
HS201447-RB29,0
HS201453-CB01,0
HS201453-CB02,0
HS201453-CB03,0
HS201453-CB04,0
HS201453-CB05,0
HS201453-CB06,0
HS201453-CB07,0
HS201453-CB08,0
HS201453-CB09,0
HS201453-CB10,0
HS201453-CB11,0
HS201453-CB12,0
HS201453-CB13,0
HS201453-CB14,0
HS201453-CB15,0
HS201453-CB16,0
HS201453-CB17,0
HS201453-CB18,0
HS201453-CB19,0
HS201453-CB20,0
HS201453-CB21,0
HS201453-RB01,0
HS201453-RB02,0
HS201453-RB03,0
HS201453-RB04,0
HS201453-RB05,0
HS201453-RB06,0
HS201453-RB07,0
HS201453-RB08,0
HS201453-RB09,0
HS201453-RB10,0
HS201453-RB11,0
HS201453-RB12,0
HS201453-RB13,0
HS201453-RB14,0
HS201453-RB15,0
HS201453-RB16,0
HS201453-RB17,0
HS201453-RB18,0
HS201453-RB19,0
HS201453-RB20,0
HS201453-RB21,0
HS201454-CB01,0
HS201454-CB02,0
HS201454-CB03,0
HS201454-CB04,0
HS201454-CB05,0
HS201454-CB06,0
HS201454-CB07,0
HS201454-CB08,0
HS201454-CB09,0
HS201454-CB10,0
HS201454-CB11,0
HS201454-CB12,0
HS201454-RB01,0
HS201454-RB02,0
HS201454-RB03,0
HS201454-RB04,0
HS201454-RB05,0
HS201454-RB06,0
HS201454-RB07,0
HS201454-RB08,0
HS201454-RB09,0
HS201454-RB10,0
HS201455-HSD03,3
HS201455-HSD04,3
HS201455-HSD05,3
HS201455-HSD06,4
HS201455-HSD07,3
HS201455-HSD08,3
HS201455-HSD09,3
HS201455-HSD10,3
HS201455-HSD11,3
HS201455-HSD12,3
HS201455-HSD13,3
HS201455-RB01,3
HS201455-RB02,3
HS201455-RB03,3
HS201455-RB04,3
HS201455-RB05,3
HS201455-RB06,4
HS201455-RB07,3
HS201455-RB08,3
HS201455-RB09,3
HS201455-RB10,3
HS201455-RB11,2
HS201455-RB12,2
HS201455-RB13,3
HS201455-RB14,0
HS201455-RB15,3
HS201455-RB16,4
HS201455-RB17,3
HS201455-RB18,4
HS201455-RB19,3
HS201455-RB20,3
HS201455-RB21,3
HS201455-RB22,3
HS201455-RB23,3
HS201455-RB24,4
HS201455-RB25,4
HS201455-RB26,4
HS201455-RB27,4
HS201455-RB28,4
HS201455-RB29,3
HS201455-RB30,3
HS201455-RB31,3
HS201455-RB32,3
HS201466-EP02,15
HS201466-EP03,15
HS201466-EP04,15
HS201466-EP05,15
HS201466-EP06,30
HS201466-EP07,15
HS201466-IBC01,0
HS201466-IBC02,15
HS201466-IBC03,30
HS201466-IBC04,0
HS201466-IBC05,15
HS201466-IBC06,0
HS201466-IBC07,15
HS201466-IVI01,0
HS201466-IVI02,15
HS201466-IVI03,30
HS201466-IVI04,45
HS201466-IVI05,60
HS201466-IVI06,0
HS201466-IVI07,15
HS201466-IVI08,30
HS201466-IVI09,0
HS201466-IVI10,15
HS201466-IVI11,30
HS201466-IVI12,45
HS201466-IVI13,60
HS201466-IVI14,0
HS201466-IVI15,0
HS201466-IVI16,15
HS201466-IVI17,30
HS201466-IVI18,45
HS201466-JF01,0
HS201466-JF02,15
HS201466-JF03,0
HS201466-JF04,0
HS201466-JF05,15
HS201466-JF06,0
HS201466-JS01,0
HS201466-JS02,15
HS201466-JS03,0
HS201466-JS04,30
HS201466-JS05,0
HS201466-JS06,15
HS201466-JS07,0
HS201466-JS08,30
HS201466-QCST01,0
HS201466-QCST02,0
HS201466-QCST03,15
HS201466-QCST04,0
HS201466-QCST05,30
HS201466-QCST06,0
HS201466-QCST07,15
HS201466-QCST08,0
HS201466-QCST09,30
HS201466-QCST10,0
HS201466-QCST11,0
HS201466-QCST12,15
HS201466-QCST13,0
HS201466-QCST14,30
HS201466-QCST15,0
HS201466-QCST16,15
HS201466-QCST17,0
HS201466-QCST18,30
HS201466-QCST19,0
HS201466-QCST20,15
HS201466-QCST21,0
HS201466-RI01,15
HS201466-RI02,15
HS201539-CB07,0
HS201539-CB08,0
HS201539-RB01,0
HS201539-RB02,0
HS201539-RB03,0
HS201539-RB04,0
HS201539-RB05,0
HS201539-RB06,0
HS201539-RB07,0
HS201539-RB08,0
HS201539-RB09,0
HS201539-RB10,0
HS201539-RB11,0
HS201539-RB12,0
HS201539-RB13,0
HS201539-RB14,0
HS201539-RB15,0
HS201540-CB01,0
HS201540-CB02,0
HS201540-CB03,0
HS201540-CB04,0
HS201540-CB05,0
HS201540-CB06,0
HS201540-CB07,0
HS201540-CB08,0
HS201540-CB09,0
HS201540-CB10,0
HS201540-RB01,0
HS201540-RB02,0
HS201540-RB03,0
HS201540-RB04,0
HS201540-RB05,0
HS201540-RB06,0
HS201540-RB07,0
HS201540-RB08,0
HS201540-RB09,0
HS201540-RB10,0
HS201540-RB11,0
HS201540-RB12,0
HS201540-RB13,0
HS201540-RB14,0
HS201540-RB15,0
HS201540-RB16,0
HS201540-RB17,0
HS201540-RB18,0
HS201540-RB19,0
HS201541-CB01,0
HS201541-CB02,0
HS201541-CB03,0
HS201541-CB04,0
HS201541-CB05,0
HS201541-CB06,0
HS201541-CB07,0
HS201541-CB08,0
HS201541-CB09,0
HS201541-CB10,0
HS201541-CB11,0
HS201541-CB12,0
HS201541-RB01,0
HS201541-RB02,0
HS201541-RB03,0
HS201541-RB04,0
HS201541-RB05,0
HS201541-RB06,0
HS201541-RB07,0
HS201541-RB08,0
HS201541-RB09,0
HS201541-RB10,0
HS201541-RB11,0
HS201541-RB12,0
HS201541-RB13,0
HS201541-RB14,0
HS201541-RB15,0
HS201541-RB16,0
HS201542-CB01,0
HS201542-CB02,0
HS201542-CB03,0
HS201542-CB04,0
HS201542-CB05,0
HS201542-CB06,0
HS201542-CB07,0
HS201542-CB08,0
HS201542-CB09,0
HS201542-CB10,0
HS201542-CB11,0
HS201542-RB01,0
HS201542-RB02,0
HS201542-RB03,0
HS201542-RB04,0
HS201556-QCST08,0
HS201556-QCST09,30
HS201556-QCST10,0
HS201556-QCST11,15
HS201556-QCST12,0
HS201556-QCST13,0
HS201556-QCST14,15
HS201556-QCST15,0
HS201556-QCST16,15
HS201556-QCST17,30
HS201556-QCST18,15
HS201556-QCST19,0
HS201556-RI01,15
HS201556-RI02,30
HS201556-VI01,0
HS201556-VI02,15
HS201556-VI03,0
HS201556-VI04,30
HS201556-VI05,0
HS201556-VI06,0
HS201556-VI07,0
HS201556-VI08,0
HS201556-VI09,15
HS201556-VI10,30
HS201556-VI11,0
HS201556-VI12,15
HS201556-VI13,30
HS201556-VI14,0
HS201556-VI15,0
HS201556-VI16,0
HS201556-VI17,0
HS201556-VI18,15
HS201556-VI19,0
HS201556-VI20,0
HS201556-VI21,0
HS201556-VI22,30
HS201556-VI23,15
HS201556-VI24,0
HS201556-VI25,15
HS201556-VI26,30
HS201556-VI27,0
HS201634-CB01,20
HS201634-CB02,10
HS201634-CB03,0
HS201634-CB04,10
HS201634-CB05,20
HS201634-HW01,0
HS201634-HW02,10
HS201634-HW03,20
HS201634-HW04,30
HS201634-HW05,0
HS201634-HW06,0
HS201634-HW07,0
HS201634-HW08,10
HS201634-HW09,0
HS201634-HW10,20
HS201634-HW11,0
HS201634-HW12,30
HS201634-HW13,0
HS201634-HW14,0
HS201634-HW15,0
HS201634-HW16,0
HS201635-CB01,0
HS201635-CB02,0
HS201635-CB03,0
HS201635-CB05,0
HS201635-CB06,10
HS201635-CB07,0
HS201635-CB08,10
HS201635-CB09,0
HS201635-CB10,10
HS201635-CB11,0
HS201635-CB12,10
HS201635-HW01,0
HS201635-HW02,10
HS201635-HW03,0
HS201635-HW04,10
HS201635-HW05,0
HS201635-HW06,10
HS201635-HW07,0
HS201635-HW08,0
HS201635-HW09,0
HS201635-HW10,0
HS201635-HW11,10
HS201635-HW12,0
HS201635-HW13,0
HS201635-HW14,10
HS201635-HW15,0
HS201635-HW16,10
HS201635-HW17,0
HS201635-HW18,0
HS201635-HW19,0
HS200109-X87,0
HS200109-X88,0
HS200109-X92,0
HS200109-X93,0
HS200109-X94,0
HS200109-X95,0
HS200109-X96,0
HS200109-X97,0
HS200114-DE01,0
HS200114-DE02,0
HS200114-DE03,0
HS200114-DE04,0
HS200114-DE05,0
HS200114-DE06,0
HS200114-EP01,0
HS200114-EP02,0
HS200114-EP03,0
HS200114-EP04,0
HS200114-EP05,0
HS200114-EP06,0
HS200114-EP07,0
HS200114-EP08,0
HS200114-FI01,0
HS200114-FI02,0
HS200114-FI03,0
HS200114-FI04,0
HS200114-FI05,0
HS200114-FI06,0
HS200114-FI07,0
HS200114-FI08,0
HS201635-HW20,0
HS201636-CB01,0
HS201636-CB02,10
HS201636-CB03,0
HS201636-CB04,20
HS201636-CB05,0
HS201636-CB06,0
HS201636-CB07,10
HS201636-HW01,0
HS201636-HW02,10
HS201636-HW03,0
HS201636-HW04,0
HS201636-HW05,0
HS201636-HW06,0
HS201636-HW07,0
HS201636-HW08,0
HS201636-HW09,0
HS201636-HW10,10
HS201636-HW11,20
HS201636-HW12,0
HS201636-HW13,0
HS201636-HW14,10
HS201636-HW15,0
HS201636-HW16,0
HS201636-HW17,0
HS201636-HW18,0
HS201637-CB01,0
HS201637-CB03,0
HS201637-CB04,10
HS201637-CB05,0
HS201637-CB06,0
HS201637-CB07,20
HS201637-CB08,10
HS201637-CB09,30
HS201637-CB10,10
HS201637-CB11,0
HS201637-CB12,20
HS201637-CB13,10
HS201637-HW01,0
HS201637-HW02,10
HS201637-HW03,0
HS201637-HW04,0
HS201637-HW05,0
HS201637-HW06,0
HS201637-HW07,20
HS201637-HW08,0
HS201637-HW09,30
HS201637-HW10,0
HS201637-HW11,10
HS201637-HW12,0
HS201637-HW13,0
HS201637-HW14,30
HS201637-HW15,0
HS201637-HW16,10
HS201637-HW17,NA
HS201637-HW18,0
HS201637-HW19,0
HS201637-HW20,0
HS201637-HW21,0
HS201637-HW22,10
HS201638-CB01,0
HS201638-CB02,10
HS201638-CB03,0
HS201638-CB04,0
HS201638-CB05,20
HS201638-CB06,0
HS201638-CB07,20
HS201638-CB08,0
HS201638-CB09,0
HS201638-CB10,10
HS201638-CB11,0
HS201638-CB12,20
HS201638-HW01,0
HS201638-HW02,0
HS201638-HW03,0
HS201638-HW04,10
HS201638-HW05,0
HS201638-HW06,10
HS201638-HW07,0
HS201638-HW08,0
HS201638-HW09,20
HS201638-HW10,10
HS201638-HW11,0
HS9705-057,0
HS9705-058,0
HS9705-061,5
HS9705-062,0
HS9705-063,8
HS9705-064,9
HS9705-065,8
HS9705-068,8
HS9705-069,6
HS9705-074,6
HS9705-076,8
HS9705-077,14
HS9705-078,14
HS9735-001,0
HS201638-HW17,0
HS201638-HW18,0
HS201638-HW19,10
HS201638-HW20,0
HS201639-CB01,0
HS201639-CB02,0
HS201639-CB03,0
HS201639-CB04,10
HS201639-CB05,0
HS201639-CB06,10
HS201639-CB07,0
HS201639-CB08,0
HS201639-CB09,0
HS201639-CB10,10
HS201639-HW01,0
HS201639-HW02,10
IPES2019-124-202,15
IPES2019-124-203,15
IPES2019-124-204,15
IPES2019-124-205,0
IPES2019-124-208,0
IPES2019-124-211,15
IPES2019-124-214,15
IPES2019-124-215,0
IPES2019-124-216,0
IPES2019-124-217,0
IPES2019-124-220,0
IPES2019-124-223,0
IPES2019-124-226,0
IPES2019-124-227,0
IPES2019-124-228,0
BCSI-201734-HW28,20
BCSI-201734-HW29,0
BCSI-201734-HW30,30
BCSI-201734-HW31,10
BCSI-201734-HW32,20
BCSI-201734-HW33,0
BCSI-201734-HW34,30
BCSI-201734-HW35,10
BCSI-201734-HW36,20
BCSI-201734-HW37,0
BCSI-201734-HW38,30
BCSI-201734-HW39,10
BCSI-201734-HW40,20
BCSI-201778-BR01,0
BCSI-201778-BR02,0
BCSI-201778-BR03,15
BCSI-201778-BR04,30
BCSI-201778-BR05,0
BCSI-201778-BR06,0
BCSI-201778-BR07,0
BCSI-201778-BR08,0
BCSI-201778-BR09,0
BCSI-201778-BR10,0
BCSI-201778-BR11,30
BCSI-201778-BR12,15
BCSI-201778-BR14,30
BCSI-201778-FH01,0
BCSI-201778-FH02,0
BCSI-201778-FH03,15
BCSI-201778-FH04,0
BCSI-201778-FH05,10
BCSI-201778-FH06,0
BCSI-201778-FH07,15
BCSI-201778-FH08,0
BCSI-201778-FH09,30
BCSI-201778-FH10,15
BCSI-201778-FH11,0
BCSI-201778-FH12,30
BCSI-201778-FH13,15
BCSI-201778-FH14,0
BCSI-201778-HP01,30
BCSI-201778-HP02,15
BCSI-201778-JS01,15
BCSI-201778-JS02,0
BCSI-201778-JS03,30
BCSI-201778-JS04,0
BCSI-201778-JS05,15
BCSI-201778-JS06,0
BCSI-201778-JS07,0
BCSI-201778-QCSD01,25
BCSI-201778-QCSD02,0
BCSI-201778-QCSD03,15
BCSI-201778-QCSD04,30
BCSI-201778-QCSD06,15
BCSI-201778-QCSD07,0
BCSI-201778-QCSD08,15
BCSI-201778-QCSD09,0
BCSI-201778-QCSD10,30
