TRIP_ID,UNIQUE_EVENT,USABLE,TARGET_DEPTH,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,STRATUM,BLOCK,VESSEL_NAME,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,MAX_BOTTOM_DEPTH,MIN_BOTTOM_DEPTH,MODAL_BOTTOM_DEPTH,TOW_LENGTH_MINUTE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DOORSPREAD,MOUTH_OPENING_HEIGHT,MOUTH_OPENING_WIDTH,Mean_Opening_Height,CALC_MOUTH_WIDTH_m,Mean_Headrope_Depth,MODAL_GEAR_DEPTH,NET_DESC,Avg_Height_ship,Avg_Height_rbr,Avg_Width_ship,Avg_Width_calc,Avg_Depth_ship,Avg_Depth_rbr,Avg_Door,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,Door_use,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-FH04,Y,0,8,4,NA,FH04,CFV SEACREST,DAY,51.877,-127.976,317,331,NA,NA,NA,20,1.45,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.69,0.03,0.012,3.60E-04,9.68E-04
201778,BCSI-201778-FH05,Y,10,8,4,NA,FH05,CFV SEACREST,DAY,51.918,-127.917,168,136,NA,NA,NA,18,1,NM,NA,12,30,NA,NA,NA,10,CanTrawl 250,12,NA,30,NA,10,NA,NA,12,SHIP,30,SHIP,NA,1.85,0.03,0.012,3.60E-04,6.66E-04
201778,BCSI-201778-FH06,Y,0,8,4,NA,FH06,CFV SEACREST,DAY,51.905,-127.909,126,344,NA,NA,NA,20,1.5,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.78,0.03,0.012,3.60E-04,0.0010008
201778,BCSI-201778-FH07,Y,15,8,4,NA,FH07,CFV SEACREST,DAY,51.86,-127.92,288,316,NA,NA,NA,20,1.38,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-FH08,Y,0,8,3,NA,FH08,CFV SEACREST,DAY,51.769,-127.907,278,307,NA,NA,NA,20,1.43,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.65,0.03,0.012,3.60E-04,9.54E-04
201778,BCSI-201778-FH09,Y,30,8,16,NA,FH09,CFV SEACREST,DAY,51.708,-127.922,342,340,NA,NA,NA,21,1.57,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.91,0.03,0.012,3.60E-04,0.0010476
201778,BCSI-201778-FH10,Y,15,8,16,NA,FH10,CFV SEACREST,DAY,51.643,-127.876,222,206,NA,NA,NA,20,1.45,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,2.69,0.03,0.012,3.60E-04,9.68E-04
201778,BCSI-201778-FH11,Y,0,9,12,NA,FH11,CFV SEACREST,DAY,51.614,-127.757,182,209,NA,NA,NA,16,1.2,NM,NA,12,30,NA,NA,NA,0,CanTrawl 250,12,NA,30,NA,0,NA,NA,12,SHIP,30,SHIP,NA,2.22,0.03,0.012,3.60E-04,7.99E-04
201778,BCSI-201778-FH12,Y,30,9,12,NA,FH12,CFV SEACREST,DAY,51.559,-127.829,190,176,NA,NA,NA,20,1.14,NM,NA,12,30,NA,NA,NA,30,CanTrawl 250,12,NA,30,NA,30,NA,NA,12,SHIP,30,SHIP,NA,2.11,0.03,0.012,3.60E-04,7.60E-04
201778,BCSI-201778-FH13,Y,15,9,1,NA,FH13,CFV SEACREST,DAY,51.51,-127.878,152,133,NA,NA,NA,24,1.89,NM,NA,12,30,NA,NA,NA,15,CanTrawl 250,12,NA,30,NA,15,NA,NA,12,SHIP,30,SHIP,NA,3.5,0.03,0.012,3.60E-04,0.00126
