"Stock.Code","Stock","Region2Name","Region1Name","Region3Name","Region1Code","Region2Code","Region3Code","FraserGroupCode"
5135,"Tahini_R","Alaska South SE","NSE_Alaska_Chilkat_R","Alaska South SE",5017,21,10,NA
5136,"Tatsatua_Cr","Alaska South SE","Taku_R","Alaska South SE",5025,21,10,NA
5137,"Trask_R","Oregon Coastal North Migrating","N_Oregon_Coast","Oregon/California",5015,19,9,NA
5138,"Trinity_H_sp","Califormia","Klamath_R","Oregon/California",5007,20,9,NA
5139,"Tucannon_H","Snake Sp-Su","Snake_R_sp/su","Snake",5022,18,8,NA
5140,"Tucannon_R","Snake Sp-Su","Snake_R_sp/su","Snake",5022,18,8,NA
5141,"Twisp_R_Sp","Mid-Columbia Brights/Upriver Brights","Mid_and_Upper_Columbia_R_sp","Columbia",5010,15,7,NA
5142,"U_Deschutes_R","Mid-Columbia Brights/Upriver Brights","Deschutes_R_fa","Columbia",5004,15,7,NA
5143,"U_Nahlin_R","Alaska South SE","Taku_R","Alaska South SE",5025,21,10,NA
5144,"U_Sauk_R","North Puget Sound Fall","N_Puget_Sound","Puget Sound",5016,10,5,NA
5145,"U_Sauk_R_SpSu","North Puget Sound Fall","N_Puget_Sound","Puget Sound",5016,10,5,NA
5146,"U_Skagit_R","North Puget Sound Fall","N_Puget_Sound","Puget Sound",5016,10,5,NA
5148,"U_Yakima_H","Mid-Columbia Brights/Upriver Brights","Mid_and_Upper_Columbia_R_sp","Columbia",5010,15,7,NA
5149,"Umatilla_H","Up-Columbia S-F","U_Columbia_R_su/fa","Columbia",5026,22,7,NA
5150,"Umatilla_H_Fa","Up-Columbia S-F","U_Columbia_R_su/fa","Columbia",5026,22,7,NA
5151,"Umpqua_H","Oregon Coastal North Migrating","Mid_Oregon_Coast","Oregon/California",5011,19,9,NA
5152,"UW_H_SuFa","South Puget Sound Fall","S_Puget_Sound","Puget Sound",5020,11,5,NA
5153,"Voights_H","South Puget Sound Fall","S_Puget_Sound","Puget Sound",5020,11,5,NA
5154,"Warm_Springs_H","Mid-Columbia Brights/Upriver Brights","Mid_and_Upper_Columbia_R_sp","Columbia",5010,15,7,NA
5155,"Washougal_R_Fa","Fall Cowlitz/Willamette","L_Columbia_R_fa","Columbia",5008,13,7,NA
5156,"Wells_H","Up-Columbia S-F","U_Columbia_R_su/fa","Columbia",5026,22,7,NA
5157,"Wenaha_R","Snake Sp-Su","Snake_R_sp/su","Snake",5022,18,8,NA
5158,"Wenatchee_H_sp","Mid-Columbia Brights/Upriver Brights","Mid_and_Upper_Columbia_R_sp","Columbia",5010,15,7,NA
5159,"Wenatchee_R_SF","Up-Columbia S-F","U_Columbia_R_su/fa","Columbia",5026,22,7,NA
5160,"Wenatchee_R_sp","Mid-Columbia Brights/Upriver Brights","Mid_and_Upper_Columbia_R_sp","Columbia",5010,15,7,NA
5161,"White_H","Puget Sound Spring","S_Puget_Sound","Puget Sound",5020,9,5,NA
5162,"Wilson_R","Oregon Coastal North Migrating","N_Oregon_Coast","Oregon/California",5015,19,9,NA
5163,"Yaquina_R","Oregon Coastal North Migrating","N_Oregon_Coast","Oregon/California",5015,19,9,NA
5283,"Big_Cr_H_Col","Mid-Columbia Brights/Upriver Brights","Mid_Columbia_R_tule","Columbia",5030,15,7,NA
5284,"Elochoman_H","Mid-Columbia Brights/Upriver Brights","Mid_Columbia_R_tule","Columbia",5030,15,7,NA
5285,"Spring_Cr_col","Mid-Columbia Brights/Upriver Brights","Mid_Columbia_R_tule","Columbia",5030,15,7,NA
