UNIQUE_EVENT,n_JUV,n_AD,n_TOTAL,Species
HS200109-X03,0,0,0,PINK
HS200109-X04,0,0,0,PINK
HS200109-X05,0,0,0,PINK
HS200109-X06,0,0,0,PINK
HS200109-X07,0,0,0,PINK
HS200109-X08,0,0,0,PINK
HS200109-X09,0,0,0,PINK
HS200109-X10,0,0,0,PINK
HS200109-X11,0,0,0,PINK
HS200109-X12,0,0,0,PINK
HS200109-X13,0,0,0,PINK
HS200109-X14,0,0,0,PINK
HS200109-X15,0,0,0,PINK
HS200109-X16,0,0,0,PINK
HS200109-X17,0,0,0,PINK
HS200109-X18,0,0,0,PINK
HS200109-X19,0,0,0,PINK
HS200109-X20,0,0,0,PINK
HS200109-X21,0,0,0,PINK
HS200109-X22,0,0,0,PINK
HS200109-X23,0,0,0,PINK
HS200109-X24,0,0,0,PINK
HS200109-X25,0,0,0,PINK
HS200109-X26,0,0,0,PINK
HS200109-X27,0,0,0,PINK
HS200109-X28,0,0,0,PINK
HS200109-X29,0,0,0,PINK
HS200109-X30,0,0,0,PINK
HS200109-X31,0,0,0,PINK
HS200109-X32,0,0,0,PINK
HS200109-X33,0,0,0,PINK
HS200109-X34,0,0,0,PINK
HS200109-X35,0,0,0,PINK
HS200109-X36,0,0,0,PINK
HS200109-X37,0,0,0,PINK
HS200109-X38,0,0,0,PINK
HS200109-X39,0,0,0,PINK
HS200109-X40,0,0,0,PINK
HS200109-X41,0,0,0,PINK
HS200109-X42,0,0,0,PINK
HS200109-X43,0,0,0,PINK
HS200109-X44,0,0,0,PINK
HS200109-X45,0,0,0,PINK
HS200109-X46,0,0,0,PINK
HS200109-X47,0,0,0,PINK
HS200109-X48,0,0,0,PINK
HS200109-X49,0,0,0,PINK
HS200109-X50,0,0,0,PINK
HS200109-X51,0,0,0,PINK
HS200109-X52,0,0,0,PINK
HS200109-X53,0,0,0,PINK
HS200109-X54,0,0,0,PINK
HS200109-X55,0,0,0,PINK
HS200109-X56,0,0,0,PINK
HS200109-X57,0,0,0,PINK
HS200109-X58,0,0,0,PINK
HS200109-X59,0,0,0,PINK
HS200109-X61,0,0,0,PINK
HS200109-X62,0,0,0,PINK
HS200109-X63,0,0,0,PINK
HS200109-X64,0,0,0,PINK
HS200109-X65,0,0,0,PINK
HS200109-X66,0,0,0,PINK
HS200109-X67,0,0,0,PINK
HS200109-X68,0,0,0,PINK
HS200109-X70,0,0,0,PINK
HS200109-X71,0,0,0,PINK
HS200109-X72,0,0,0,PINK
HS200109-X73,0,0,0,PINK
HS200109-X74,0,0,0,PINK
HS200109-X75,0,0,0,PINK
HS200109-X76,0,0,0,PINK
HS200109-X77,0,0,0,PINK
HS200109-X78,0,0,0,PINK
HS200109-X79,0,0,0,PINK
HS200109-X80,0,0,0,PINK
HS200109-X81,0,0,0,PINK
HS200109-X82,0,0,0,PINK
HS200109-X83,0,0,0,PINK
HS200109-X84,0,0,0,PINK
HS200109-X85,0,0,0,PINK
HS200109-X86,0,0,0,PINK
HS200109-X87,0,0,0,PINK
HS200109-X88,0,0,0,PINK
HS200109-X92,0,0,0,PINK
HS200109-X93,0,0,0,PINK
HS200109-X94,0,0,0,PINK
HS200109-X95,0,0,0,PINK
HS200109-X96,0,0,0,PINK
HS200109-X97,0,0,0,PINK
HS200114-DE01,0,0,0,PINK
HS200114-DE02,0,0,0,PINK
HS200114-DE03,0,0,0,PINK
HS200114-DE04,0,0,0,PINK
HS200114-DE05,0,3,3,PINK
HS200114-DE06,0,12,12,PINK
HS200114-EP01,0,0,0,PINK
HS200114-EP02,0,1,1,PINK
HS200114-EP03,0,2,2,PINK
HS200114-EP04,0,1,1,PINK
HS200114-EP05,0,0,0,PINK
HS200114-EP06,0,0,0,PINK
HS200114-EP07,0,0,0,PINK
HS200114-EP08,0,0,0,PINK
HS200114-FI01,0,9,9,PINK
HS200114-FI02,0,12,12,PINK
HS200114-FI03,0,3,3,PINK
