TRIP_ID,UNIQUE_EVENT,DATE,YEAR,MONTH,DAY,EVENT_TYPE,EVENT_CODE,USABLE,VESSEL_NAME,STRATUM,BLOCK,STATION_NAME,TOW_LENGTH_MINUTE,TOW_LENGTH_HOUR,DAY_NIGHT,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,DISTANCE_TRAVELLED,DISTANCE_UNITS,DFO_STAT_AREA_CODE,DFO_STAT_SUBAREA_CODE,VESSEL_SPEED,SPEED_UNITS,DIRECTION,START_BOTTOM_DEPTH,END_BOTTOM_DEPTH,NET_DESC,CODEND_MESH_SIZE,MOUTH_HEIGHT_USE,MOUTH_HEIGHT_SOURCE,MOUTH_WIDTH_USE,MOUTH_WIDTH_SOURCE,bath_depth_points_n,bath_DEPTH_mean_m,bath_DEPTH_med_m,bath_TRANSECT_dist_km,bath_DEPTH_START,bath_DEPTH_END,Dist_to_Coast_km,DISTANCE_KM,WIDTH_KM,HEIGHT_KM,MOUTH_KM2,VOLUME_KM3
201778,BCSI-201778-BR14,2017-10-07T00:00:00Z,2017,OCT,7,Midwater Trawl,6,Y,CFV SEACREST,NA,BR14,BR14,20,0.33,DAY,50.635,-126.431,50.634,-126.465,1.3,NM,12,26,3.9,KNOTS,267,234,196,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,9,194.7777778,191,2.350856197,222,191,1.002748692,2.41,0.03,0.012,3.60E-04,8.68E-04
201778,BCSI-201778-FH01,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,FH01,FH01,20,0.33,DAY,51.679,-127.962,51.702,-127.978,1.5,NM,8,16,4.5,KNOTS,337,323,293,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,275.4285714,290,3.007922035,305,215,0.510065421,2.78,0.03,0.012,3.60E-04,0.0010008
201778,BCSI-201778-FH02,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,FH02,FH02,20,0.33,DAY,51.758,-127.95,51.778,-127.965,1.32,NM,8,3,4,KNOTS,385,146,381,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,6,385.8333333,386,2.471107204,384,380,2.753950788,2.44,0.03,0.012,3.60E-04,8.78E-04
201778,BCSI-201778-FH03,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,FH03,FH03,20,0.33,DAY,51.811,-127.998,51.832,-128.008,1.31,NM,8,4,3.9,KNOTS,344,196,221,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,6,196,195.5,2.386318777,189,210,0.909025555,2.43,0.03,0.012,3.60E-04,8.75E-04
201778,BCSI-201778-FH04,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,FH04,FH04,20,0.33,DAY,51.877,-127.976,51.895,-127.95,1.45,NM,8,4,4.3,KNOTS,42,317,331,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,318.7142857,319,2.525595308,313,325,2.491557986,2.69,0.03,0.012,3.60E-04,9.68E-04
201778,BCSI-201778-FH05,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,FH05,FH05,18,0.3,DAY,51.918,-127.917,51.918,-127.89,1,NM,8,4,3.3,KNOTS,90,168,136,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,8,107.75,118,2.000326399,44,127,2.271521359,1.85,0.03,0.012,3.60E-04,6.66E-04
201778,BCSI-201778-FH06,2017-10-01T00:00:00Z,2017,OCT,1,Midwater Trawl,6,Y,CFV SEACREST,NA,FH06,FH06,20,0.33,DAY,51.905,-127.909,51.903,-127.948,1.5,NM,8,4,4.3,KNOTS,265,126,344,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,10,272,300,2.614069393,128,339,2.30709808,2.78,0.03,0.012,3.60E-04,0.0010008
201778,BCSI-201778-FH07,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH07,FH07,20,0.33,DAY,51.86,-127.92,51.837,-127.92,1.38,NM,8,4,4.1,KNOTS,180,288,316,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,306.8571429,310,2.779873166,292,310,1.960940448,2.56,0.03,0.012,3.60E-04,9.22E-04
201778,BCSI-201778-FH08,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH08,FH08,20,0.33,DAY,51.769,-127.907,51.746,-127.897,1.43,NM,8,3,4.3,KNOTS,165,278,307,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,6,282.3333333,282,2.386509532,285,296,1.279995908,2.65,0.03,0.012,3.60E-04,9.54E-04
201778,BCSI-201778-FH09,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH09,FH09,21,0.35,DAY,51.708,-127.922,51.682,-127.917,1.57,NM,8,16,4.4,KNOTS,173,342,340,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,332.1428571,332,2.794668745,335,333,2.281190064,2.91,0.03,0.012,3.60E-04,0.0010476
201778,BCSI-201778-FH10,2017-10-02T00:00:00Z,2017,OCT,2,Midwater Trawl,6,Y,CFV SEACREST,NA,FH10,FH10,20,0.33,DAY,51.643,-127.876,51.619,-127.873,1.45,NM,8,16,4.3,KNOTS,176,222,206,CanTrawl 250,12.7,12,MOUTH,30,MOUTH,7,213.4285714,215,2.79470951,217,201,1.596890398,2.69,0.03,0.012,3.60E-04,9.68E-04
